,bin_start,bin_end,bin_accuracy,avg_confidence,bin_count,run_id,parent_run_id,experiment_run_id,experiment_id,corpus,start_time,strategy,type
2,0.2,0.3,0.4358974358974359,0.2829001385432023,39.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
3,0.3,0.4,0.3396551724137931,0.3645009558262496,580.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
4,0.4,0.5,0.4204712812960235,0.4537661240843504,1358.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
5,0.5,0.6000000000000001,0.4217081850533807,0.5514336540888496,1686.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
6,0.6000000000000001,0.7000000000000001,0.4687791239515377,0.6541737525516432,2146.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
7,0.7000000000000001,0.8,0.5424606462303231,0.7592860184974086,4828.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
8,0.8,0.9,0.8008056946182729,0.834392207265553,25568.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
9,0.9,1.0,0.0,0.901060938835144,1.0,b5faf1aa24c84c139f994d69dc2dd6ae,82c4493203ba44bdbf1116dbd4d866e2,da0c85a6905c4aba8b998a32a8416020,47,data/processed_data/aurc,2024-08-02 22:38:53.471000+00:00,k-means-cluster-based-bert-km,ece
0,0.0,0.1,0.0,0.0,0.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
1,0.1,0.2,0.0,0.0,0.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
2,0.2,0.3,0.4444444444444444,0.2843370470735762,9.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
3,0.3,0.4,0.3744680851063829,0.3650333367763682,235.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
4,0.4,0.5,0.3894117647058823,0.4556657474531846,850.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
5,0.5,0.6000000000000001,0.4433085501858736,0.5521190293881086,1076.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
6,0.6000000000000001,0.7000000000000001,0.4866039102099928,0.6548718040098236,1381.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
7,0.7000000000000001,0.8,0.5046075627581824,0.7607990474522133,3147.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
8,0.8,0.9,0.8007320048800325,0.8364129173807356,29508.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
9,0.9,1.0,0.0,0.0,0.0,af39eed022ac42ce86c084d0e4162d07,0d95b360cae7470cbb7899dd901d0c91,fe1325db472246509ad1591d5422d670,19,data/processed_data/aurc,2024-08-08 12:25:32.828000+00:00,fluctuation-historical-sequence,ece
0,0.0,0.1,0.0,0.0,0.0,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,ece
1,0.1,0.2,0.0,0.0,0.0,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,ece
2,0.2,0.3,0.1666666666666666,0.2926472375790278,12.0,e0bc9d5b9b354d798d32fb4ca12cbcb4,005dd0826ab442348549fd167c95f908,c66626ff404f455ba748f5290e5276c3,99,data/processed_data/aurc,2024-08-12 18:15:31.168000+00:00,tag-flip-historical,ece
